customer_id,gender,age,marital_status,education,region,annual_income
80,Female,40,Married,Master,North,417691
81,Male,25,Married,Bachelor,West,1692345
82,Female,57,Married,Master,West,336930
83,Male,40,Single,Master,North,1757134
84,Female,44,Single,PhD,East,897094
85,Male,56,Married,PhD,South,804514
86,Male,54,Single,Master,West,818095
87,Female,65,Divorced,High School,West,1648414
88,Male,68,Married,Master,East,1156325
89,Female,54,Divorced,High School,North,1057479
90,Female,39,Single,Bachelor,West,1432623
91,Female,37,Married,Master,East,1653239
92,Female,25,Divorced,Bachelor,West,1752357
93,Female,45,Single,Master,East,1026831
94,Female,38,Married,Bachelor,East,1126305
95,Female,28,Married,High School,North,708288
96,Female,47,Divorced,Bachelor,South,1510354
97,Female,35,Divorced,Bachelor,North,1241101
98,Female,65,Divorced,PhD,East,1820498
99,Female,33,Single,Master,South,776598
100,Male,36,Divorced,Master,South,214083
101,Male,42,Divorced,Master,North,1183231
102,Female,40,Divorced,Master,North,437537
103,Female,33,Married,PhD,West,1189825
104,Female,40,Divorced,High School,South,244235
105,Female,22,Divorced,Bachelor,East,1570134
106,Female,55,Single,Bachelor,West,825335
107,Female,67,Single,High School,West,586666
108,Female,39,Divorced,Bachelor,West,1424180
109,Female,65,Single,PhD,West,263057
110,Male,57,Single,Master,North,1985311
111,Female,26,Single,Master,South,474354
112,Male,34,Married,PhD,West,843920
113,Female,24,Divorced,Master,South,830942
114,Female,42,Divorced,Bachelor,East,1918179
115,Male,59,Divorced,High School,South,1943862
116,Female,56,Single,High School,North,611609
117,Male,54,Single,Bachelor,South,886347
118,Female,47,Single,High School,East,1892280
119,Female,27,Married,High School,East,1117455
120,Male,23,Single,Master,West,1599579
121,Female,67,Married,Bachelor,East,1305125
122,Male,53,Divorced,PhD,West,1571936
123,Female,22,Single,High School,North,1671972
124,Male,62,Married,Bachelor,North,737929
125,Male,36,Married,PhD,North,1170654
126,Female,45,Single,PhD,South,209421
127,Female,35,Married,Master,East,1285193
128,Male,44,Single,Master,East,473560
129,Female,35,Married,High School,East,889576
130,Female,51,Divorced,Bachelor,West,1806636
131,Female,34,Divorced,Bachelor,West,1435984
132,Male,34,Divorced,Master,North,1108988
133,Male,26,Single,Master,East,413203
134,Male,34,Divorced,Master,South,550011
135,Male,37,Divorced,High School,South,293472
136,Male,38,Divorced,Bachelor,North,1213384
137,Male,40,Single,High School,West,208369
138,Male,37,Married,Bachelor,West,1344708
139,Male,36,Single,Master,West,310765
140,Male,60,Single,High School,North,1074460
141,Female,59,Divorced,PhD,North,573490
142,Male,52,Married,High School,East,1028014
143,Female,64,Divorced,High School,East,1757123
144,Female,29,Divorced,PhD,East,273731
145,Female,47,Single,PhD,South,1261754
146,Male,66,Single,Master,South,986449
147,Male,53,Single,PhD,East,387386
148,Male,30,Divorced,PhD,South,1809959
149,Male,37,Married,High School,South,1447009
150,Female,69,Married,High School,West,1797487
151,Male,69,Divorced,Master,West,1254782
152,Male,56,Married,PhD,North,976461
153,Male,37,Divorced,Bachelor,West,1807679
154,Male,38,Married,High School,East,732054
155,Male,43,Divorced,Master,West,618080
156,Female,54,Married,High School,South,1911184
157,Male,28,Single,High School,South,1797609
158,Female,33,Single,Bachelor,East,478175
159,Male,43,Single,Master,East,526255
160,Female,40,Single,Bachelor,West,1342882
161,Male,42,Divorced,Bachelor,West,1206450
162,Male,67,Married,Master,West,1302506
163,Female,43,Divorced,PhD,North,1463758
164,Female,61,Single,Bachelor,North,1568369
165,Female,55,Married,PhD,East,894643
166,Male,23,Divorced,High School,West,703538
167,Female,54,Single,Master,South,1655686
168,Male,53,Married,Master,North,1699710
169,Male,66,Married,High School,East,591749
170,Female,37,Single,High School,North,1623752
171,Female,65,Single,High School,West,1674188
172,Male,39,Married,Bachelor,South,1008039
173,Male,50,Single,Bachelor,South,1683921
174,Female,43,Divorced,Bachelor,East,1719266
175,Female,35,Single,Bachelor,North,560448
176,Female,34,Single,Bachelor,West,1419287
177,Male,22,Single,PhD,West,663996
178,Male,59,Married,PhD,South,687793
179,Male,69,Married,Bachelor,South,731491
180,Male,38,Single,Master,West,1166897
181,Male,26,Married,Master,West,953359
182,Male,52,Single,PhD,North,942353
183,Female,41,Divorced,PhD,East,965694
184,Male,60,Married,Master,North,735490
185,Male,48,Single,Master,North,969837
186,Male,47,Married,Master,West,1824553
187,Female,22,Divorced,PhD,North,286780
188,Male,53,Divorced,PhD,North,1794532
189,Male,36,Single,Master,North,1630471
190,Female,59,Married,PhD,South,652729
191,Male,42,Divorced,Bachelor,East,776081
192,Male,63,Married,Master,East,605501
193,Male,67,Single,High School,South,1838300
194,Male,33,Divorced,Master,West,1407268
195,Male,22,Divorced,PhD,West,218219
196,Female,34,Married,High School,East,1504412
197,Female,58,Divorced,High School,East,1920131
198,Female,61,Single,Master,West,860555
199,Male,48,Single,Bachelor,North,1835213
200,Male,27,Divorced,Bachelor,East,1711090
201,Male,38,Single,PhD,North,1853449
202,Female,61,Divorced,High School,East,700488
203,Male,56,Divorced,Bachelor,South,619287
204,Male,61,Divorced,PhD,East,511665
205,Female,56,Divorced,High School,South,1009296
206,Male,64,Married,PhD,North,1174679
207,Female,24,Divorced,Bachelor,West,1429380
208,Female,50,Single,PhD,North,1870049
209,Female,44,Married,PhD,North,652201
210,Male,40,Single,Bachelor,North,737664
211,Male,66,Divorced,Bachelor,South,758618
212,Male,51,Single,PhD,East,344295
213,Male,44,Married,Bachelor,West,1236679
214,Male,27,Single,Master,North,701556
215,Male,46,Married,Master,North,1630916
216,Male,33,Divorced,Master,North,274165
217,Female,28,Divorced,High School,South,317876
218,Male,25,Single,Master,South,711651
219,Female,64,Single,Master,South,1497398
220,Male,33,Divorced,Master,East,262560
221,Male,49,Divorced,Bachelor,East,695487
222,Male,40,Single,Bachelor,North,1481333
223,Female,34,Divorced,Bachelor,West,894433
224,Female,52,Married,Bachelor,South,253810
225,Female,47,Married,Bachelor,East,1561538
226,Female,45,Single,Master,East,1330304
227,Male,24,Single,Master,West,746557
228,Female,41,Divorced,Bachelor,South,354964
229,Male,38,Divorced,PhD,East,245575
230,Male,59,Married,Bachelor,West,1628907
231,Female,35,Single,Master,West,227037
232,Female,58,Single,Master,South,729671
233,Female,68,Single,Bachelor,South,1331387
234,Female,44,Single,High School,South,1284762
235,Female,28,Married,PhD,North,1674390
236,Female,48,Married,Bachelor,East,1307703
237,Female,41,Single,Master,West,739086
238,Female,36,Married,PhD,North,1749309
239,Male,36,Single,High School,South,910580
240,Female,55,Married,PhD,East,1302022
241,Female,37,Divorced,Bachelor,East,1790347
242,Male,29,Married,Master,North,908465
243,Female,55,Single,Master,West,1398499
244,Male,49,Divorced,Master,North,1368229
245,Male,59,Single,PhD,East,813738
246,Female,38,Divorced,Bachelor,West,850845
247,Male,32,Divorced,Bachelor,North,1391357
248,Male,39,Married,PhD,North,775890
249,Male,68,Married,PhD,South,451921
250,Male,42,Divorced,High School,East,373739
251,Female,69,Divorced,Master,South,407216
252,Male,35,Divorced,PhD,South,366547
253,Female,21,Single,Master,West,1627969
254,Male,22,Married,High School,West,396637
255,Male,28,Single,Bachelor,East,1707762
256,Male,42,Married,Master,West,422379
257,Male,45,Single,PhD,East,244281
258,Female,22,Married,PhD,West,1524522
259,Female,29,Divorced,High School,South,1363310
260,Male,29,Divorced,Master,East,1437290
261,Male,33,Married,Bachelor,South,1487690
262,Female,26,Divorced,Bachelor,West,219925
263,Male,50,Divorced,PhD,South,264786
264,Male,35,Single,High School,West,417474
265,Male,35,Married,PhD,North,1459011
266,Female,27,Divorced,PhD,South,596770
267,Female,31,Married,PhD,East,1075374
268,Female,60,Single,PhD,South,254949
269,Male,58,Married,High School,South,1718280
270,Male,60,Single,PhD,East,210695
271,Female,22,Single,Master,East,1973729
272,Female,68,Single,PhD,North,1137266
273,Female,59,Divorced,PhD,West,1736615
274,Female,30,Single,Bachelor,West,364178
275,Male,64,Married,Bachelor,East,1884516
276,Female,37,Married,High School,South,1374751
277,Male,27,Divorced,High School,West,1897707
278,Female,60,Divorced,Master,East,1456299
279,Male,59,Single,PhD,East,1316520
280,Female,24,Single,Bachelor,North,1652817
281,Female,55,Single,Master,South,599384
282,Female,67,Divorced,Master,North,1529033
283,Female,56,Divorced,High School,North,1398532
284,Male,51,Married,Bachelor,South,1471832
285,Female,45,Single,PhD,East,1913235
286,Male,61,Single,High School,South,349751
287,Male,33,Married,Master,North,272951
288,Male,38,Married,Master,North,665970
289,Male,41,Married,Bachelor,South,1190132
290,Female,68,Married,Bachelor,North,504649
291,Male,21,Single,PhD,East,1648060
292,Male,56,Divorced,Bachelor,East,1797605
293,Male,28,Single,Bachelor,South,1762600
294,Female,68,Married,High School,South,1063579
295,Female,41,Divorced,High School,East,1437117
296,Female,63,Single,PhD,West,807089
297,Female,41,Married,High School,West,1975405
298,Male,47,Divorced,PhD,West,207414
299,Male,39,Divorced,High School,South,728453
300,Female,43,Divorced,Master,East,927033
301,Male,63,Single,High School,East,1609546
302,Male,55,Married,PhD,East,1553103
303,Male,60,Single,High School,East,1882079
304,Female,62,Single,Bachelor,South,1721638
305,Female,68,Single,Master,East,1841529
306,Male,25,Divorced,High School,East,1694489
307,Female,61,Married,Master,North,321684
308,Female,28,Single,Master,North,1402360
309,Female,31,Married,Master,North,344460
310,Female,36,Divorced,Master,North,364934
311,Female,59,Single,Bachelor,South,1266099
312,Male,67,Married,Bachelor,West,1760506
313,Female,44,Divorced,PhD,North,1669624
314,Male,41,Single,PhD,North,272002
315,Male,43,Single,PhD,North,208206
316,Female,69,Married,PhD,South,1919123
317,Male,58,Married,Master,West,1812217
318,Male,67,Single,Master,East,889666
319,Male,28,Single,Master,North,762233
320,Female,27,Divorced,Bachelor,West,1582798
321,Female,22,Divorced,Bachelor,East,1499131
322,Male,50,Single,Master,North,573506
323,Female,33,Married,Master,South,600795
324,Female,43,Married,Master,South,750574
325,Female,49,Single,Master,South,374656
326,Female,58,Divorced,Bachelor,East,1487604
327,Male,57,Single,High School,South,1450195
328,Male,40,Married,PhD,West,541002
329,Female,53,Single,PhD,East,758872
330,Female,49,Single,High School,South,1471998
331,Male,35,Divorced,Bachelor,West,1975107
332,Male,43,Married,Bachelor,West,1014645
333,Female,62,Married,High School,North,1484155
334,Male,23,Single,PhD,North,531931
335,Female,57,Married,PhD,West,1554889
336,Female,49,Married,High School,North,442682
337,Male,65,Married,High School,North,1353492
338,Male,28,Married,Master,East,1852303
339,Female,42,Divorced,High School,South,1726688
340,Female,49,Divorced,High School,East,552570
341,Male,22,Divorced,PhD,East,1242092
342,Female,61,Divorced,Master,North,1818989
343,Male,69,Divorced,Master,South,1302591
344,Female,65,Married,PhD,East,845251
345,Male,21,Single,PhD,East,1039337
346,Male,64,Single,Bachelor,East,1480410
347,Male,40,Divorced,Master,East,1199559
348,Female,41,Married,High School,South,1834920
349,Female,57,Divorced,Master,North,970861
350,Male,28,Single,Bachelor,West,735431
351,Female,47,Married,High School,North,775448
352,Male,67,Married,Bachelor,West,1496409
353,Male,55,Married,PhD,East,993088
354,Female,26,Single,Bachelor,West,1738538
355,Female,65,Single,PhD,South,1084591
356,Male,64,Divorced,Bachelor,South,1730848
357,Female,39,Divorced,PhD,East,206076
358,Female,38,Single,Master,South,1851155
359,Male,21,Divorced,PhD,East,1316881
360,Male,45,Single,Master,West,564121
361,Female,47,Married,PhD,North,765445
362,Male,27,Divorced,Bachelor,North,608467
363,Male,64,Single,Bachelor,West,667941
364,Female,62,Single,Bachelor,North,974080
365,Male,49,Single,PhD,East,935973
366,Male,51,Divorced,PhD,West,936783
367,Female,64,Divorced,Bachelor,East,836867
368,Female,63,Married,Master,North,1495682
369,Male,56,Divorced,PhD,East,1262933
370,Male,39,Divorced,Master,South,508296
371,Female,26,Divorced,PhD,North,988151
372,Female,45,Married,Bachelor,South,1277111
373,Female,51,Married,Master,South,521461
374,Female,29,Married,High School,West,455622
375,Male,40,Divorced,PhD,West,373387
376,Female,30,Single,Master,East,1541877
377,Female,57,Divorced,Bachelor,East,286923
378,Male,47,Married,Master,North,1414671
379,Female,33,Divorced,High School,East,1916237
380,Male,61,Divorced,High School,East,1185066
381,Female,22,Single,Master,West,532019
382,Female,41,Single,High School,West,1498066
383,Female,53,Divorced,PhD,South,266834
384,Male,44,Married,High School,East,1938316
385,Male,64,Divorced,Master,West,1543595
386,Female,62,Divorced,Master,North,1249929
387,Male,54,Divorced,PhD,East,1086382
388,Male,29,Married,PhD,North,1646012
389,Male,22,Married,Master,South,1069468
390,Male,50,Married,Bachelor,South,1748699
391,Male,42,Married,PhD,West,530700
392,Male,66,Married,Bachelor,West,724524
393,Female,31,Divorced,High School,South,1837111
394,Female,63,Married,High School,North,1087438
395,Male,37,Divorced,PhD,South,503312
396,Female,56,Divorced,PhD,South,672382
397,Female,33,Divorced,Master,West,1567062
398,Female,27,Single,High School,East,977642
399,Female,36,Married,PhD,West,1981769
400,Male,53,Married,Master,West,320739
401,Female,65,Divorced,Bachelor,North,1787967
402,Female,21,Single,Master,South,975102
403,Male,31,Married,High School,East,252400
404,Male,26,Divorced,Master,East,1920205
405,Female,40,Single,Master,West,1824829
406,Female,55,Divorced,PhD,West,920735
407,Female,64,Single,Master,South,1676897
408,Female,57,Divorced,High School,North,1352606
409,Female,61,Married,Master,South,1848422
410,Female,46,Divorced,Master,East,1324431
411,Male,32,Divorced,High School,North,449561
412,Female,50,Single,Bachelor,West,240656
413,Female,48,Single,Bachelor,West,1234645
414,Male,47,Married,High School,East,1014179
415,Male,62,Divorced,Bachelor,South,1812194
416,Male,39,Single,Master,North,1209686
417,Male,25,Married,PhD,South,1297496
418,Female,25,Married,High School,South,1570820
419,Female,61,Single,Master,South,651973
420,Female,47,Single,PhD,West,1027638
421,Female,48,Divorced,Master,East,418713
422,Female,46,Married,High School,North,1441852
423,Female,47,Single,Master,North,247035
424,Male,69,Married,High School,East,284453
425,Female,62,Divorced,Master,North,1829701
426,Male,41,Single,PhD,North,1917266
427,Male,21,Married,PhD,South,503890
428,Female,48,Single,PhD,South,1728941
429,Male,68,Divorced,Bachelor,East,1329326
430,Female,35,Divorced,Master,North,1221534
431,Male,37,Divorced,Master,East,1343780
432,Female,46,Divorced,PhD,East,583574
433,Male,40,Single,High School,East,1881803
434,Female,45,Single,Bachelor,East,1368396
435,Female,33,Married,Master,South,986773
436,Female,53,Married,Master,West,1998065
437,Female,45,Single,Bachelor,East,829323
438,Female,28,Single,Bachelor,North,1311780
439,Male,25,Married,PhD,West,397628
440,Male,26,Single,Bachelor,South,836620
441,Male,43,Divorced,PhD,West,492677
442,Female,50,Divorced,Bachelor,West,773308
443,Male,34,Divorced,Bachelor,South,1079855
444,Female,43,Married,Master,East,660994
445,Female,31,Single,PhD,West,1126406
446,Male,51,Married,Bachelor,South,620852
447,Male,26,Married,Bachelor,South,1757641
448,Female,31,Single,Master,West,1709885
449,Male,33,Married,High School,South,287262
450,Female,32,Divorced,Master,West,729835
451,Female,22,Single,PhD,West,1961093
452,Female,55,Divorced,High School,South,1426577
453,Female,56,Divorced,Bachelor,South,1147654
454,Female,37,Single,PhD,South,688417
455,Male,48,Divorced,High School,West,700438
456,Male,48,Divorced,PhD,North,753991
457,Female,42,Divorced,Master,South,1524913
458,Female,58,Single,High School,South,1041943
459,Male,27,Single,High School,East,671323
460,Male,35,Single,High School,South,930604
461,Female,52,Married,Bachelor,West,1064694
462,Male,31,Divorced,Master,South,836670
463,Female,44,Married,High School,East,206466
464,Male,23,Married,PhD,North,812044
465,Female,50,Divorced,Bachelor,North,1533158
466,Male,26,Single,Master,South,453600
467,Female,22,Married,Master,North,261041
468,Male,34,Single,Master,West,1441844
469,Male,61,Single,Master,North,1117327
470,Female,38,Divorced,Bachelor,West,1681116
471,Male,64,Married,Master,North,390680
472,Female,51,Married,PhD,North,1403344
473,Male,33,Single,PhD,West,1702116
474,Female,46,Divorced,PhD,West,510917
475,Male,64,Married,High School,South,1567213
476,Female,32,Single,Master,West,547405
477,Male,38,Single,PhD,South,1211666
478,Female,29,Single,Master,East,1155044
479,Male,69,Divorced,Bachelor,West,841905
480,Female,41,Divorced,PhD,South,1004458
481,Female,68,Single,High School,South,1897527
482,Female,69,Single,High School,North,1934475
483,Male,60,Divorced,Bachelor,West,1741970
484,Female,63,Single,PhD,North,1790100
485,Male,44,Single,Bachelor,South,1120604
486,Female,54,Divorced,High School,West,1401371
487,Male,28,Single,High School,South,1291280
488,Female,64,Single,Master,North,1967924
489,Male,53,Single,Bachelor,South,1517936
490,Male,43,Divorced,High School,South,1004856
491,Female,33,Divorced,PhD,North,1777985
492,Male,69,Divorced,PhD,West,1093637
493,Male,34,Married,High School,North,1357720
494,Female,34,Married,Bachelor,West,1510418
495,Male,36,Married,Bachelor,West,200069
496,Male,69,Married,PhD,East,1449984
497,Male,58,Divorced,High School,South,1371501
498,Female,59,Single,PhD,West,1956222
499,Male,46,Divorced,Bachelor,West,845857
500,Female,46,Married,High School,North,1593556
501,Male,21,Divorced,PhD,West,1673003
502,Male,52,Single,High School,West,767792
503,Male,35,Married,Master,North,987482
504,Female,41,Single,PhD,West,1790462
505,Male,38,Single,PhD,South,1774678
506,Male,50,Single,Master,South,1088035
507,Female,33,Married,Bachelor,North,745635
508,Male,44,Divorced,PhD,West,1367583
509,Female,50,Married,PhD,South,1505894
510,Female,22,Married,Bachelor,East,1053049
511,Male,39,Divorced,High School,North,1224812
512,Female,67,Divorced,Master,North,696336
513,Male,64,Divorced,Bachelor,South,1484749
514,Female,67,Divorced,High School,North,297941
515,Female,45,Single,Master,West,993104
516,Male,34,Married,High School,South,548655
517,Female,26,Married,PhD,East,370735
518,Female,32,Married,Master,West,1827173
519,Female,40,Divorced,High School,East,978073
520,Female,43,Married,Master,East,543838
521,Female,50,Single,High School,North,1169825
522,Male,50,Married,High School,East,546169
523,Female,58,Married,PhD,West,1954458
524,Male,50,Single,Bachelor,South,1224631
525,Female,61,Single,Master,South,290646
526,Male,50,Married,PhD,East,1793825
527,Male,56,Divorced,Master,East,1792017
528,Female,69,Divorced,Bachelor,South,1584660
529,Female,54,Married,PhD,East,792019
530,Female,36,Married,Bachelor,West,446879
531,Male,44,Married,PhD,East,616003
532,Female,34,Married,PhD,East,974216
533,Male,46,Divorced,PhD,West,876170
534,Male,28,Married,PhD,South,1285488
535,Male,34,Single,High School,South,973341
536,Female,51,Divorced,Master,East,1731244
537,Female,22,Divorced,High School,South,1757273
538,Male,68,Single,High School,West,368440
539,Male,24,Married,High School,East,1836383
540,Female,21,Married,PhD,East,1865563
541,Male,40,Married,PhD,East,1480818
542,Female,34,Married,Bachelor,North,1347559
543,Male,60,Married,Master,North,1008996
544,Female,45,Single,Bachelor,West,1853742
545,Male,45,Married,Bachelor,East,1135090
546,Female,23,Single,Master,West,667000
547,Male,25,Single,Master,North,1141800
548,Female,58,Single,Bachelor,East,1044111
549,Female,46,Married,Bachelor,North,374575
550,Male,60,Married,Bachelor,East,1806215
551,Male,58,Divorced,PhD,West,914946
552,Female,58,Divorced,Master,West,1432898
553,Male,24,Single,Master,West,1373705
554,Female,27,Divorced,High School,North,1153534
555,Male,50,Single,PhD,West,963787
556,Female,50,Divorced,PhD,South,1629710
557,Female,39,Married,Master,South,1057198
558,Female,59,Married,PhD,West,969370
559,Female,55,Single,Bachelor,West,781113
560,Female,60,Single,Master,North,1316722
561,Female,53,Married,Master,East,997421
562,Male,53,Married,PhD,North,1388746
563,Male,34,Married,Master,North,563653
564,Male,58,Divorced,PhD,West,1815755
565,Female,30,Divorced,PhD,South,1316113
566,Female,48,Divorced,PhD,South,1020504
567,Female,34,Divorced,Bachelor,South,1876513
568,Female,56,Single,PhD,North,666873
569,Male,58,Single,PhD,South,595855
570,Male,36,Divorced,High School,South,1063523
571,Female,41,Single,High School,West,850147
572,Male,48,Divorced,Bachelor,South,1907028
573,Male,53,Divorced,Bachelor,East,525853
574,Female,26,Married,PhD,West,914288
575,Male,61,Divorced,High School,East,483987
576,Female,35,Single,Bachelor,North,457397
577,Male,64,Divorced,Master,South,1807227
578,Female,23,Married,Master,North,1810601
579,Female,63,Single,PhD,North,667697
580,Female,67,Married,High School,South,1093373
581,Female,55,Divorced,Master,West,313018
582,Male,34,Divorced,High School,North,912210
583,Female,22,Divorced,Bachelor,South,1744586
584,Female,49,Divorced,High School,South,957325
585,Female,24,Single,PhD,East,762531
586,Male,46,Divorced,High School,North,652559
587,Female,32,Married,Master,North,1839042
588,Male,22,Single,High School,South,1865464
589,Female,37,Single,High School,East,1138197
590,Male,55,Single,High School,West,875967
591,Male,30,Married,Bachelor,East,1503039
592,Female,68,Married,PhD,North,1659818
593,Male,42,Married,Master,East,475908
594,Female,61,Married,Master,North,982004
595,Female,63,Divorced,High School,West,1294337
596,Female,41,Divorced,High School,North,854219
597,Male,35,Married,Bachelor,West,1325693
598,Male,55,Married,PhD,West,679076
599,Female,68,Divorced,Master,West,1106422
600,Female,41,Divorced,PhD,East,1188946
601,Male,41,Married,Master,West,475772
602,Female,41,Single,High School,South,1635031
603,Female,64,Single,Bachelor,North,333636
604,Female,52,Married,Bachelor,North,1166297
605,Male,25,Single,High School,North,326427
606,Male,59,Divorced,High School,North,775394
607,Male,29,Single,High School,West,399698
608,Female,38,Married,PhD,East,1978718
609,Female,41,Single,High School,East,621842
610,Female,28,Single,PhD,East,725802
611,Male,64,Single,High School,East,1425643
612,Female,54,Divorced,Bachelor,North,510930
613,Female,30,Divorced,PhD,South,1832723
614,Female,61,Divorced,Bachelor,South,1701579
615,Female,44,Married,High School,East,1224418
616,Male,60,Single,High School,North,871577
617,Male,44,Divorced,Master,West,784633
618,Female,52,Divorced,PhD,East,1221300
619,Male,53,Single,PhD,West,1595324
620,Male,58,Married,PhD,West,1985159
621,Female,64,Single,PhD,West,403623
622,Female,69,Married,Bachelor,South,247640
623,Male,54,Single,PhD,East,1040856
624,Female,31,Divorced,Bachelor,North,542764
625,Male,51,Divorced,High School,North,645141
626,Female,38,Divorced,Bachelor,North,1418188
627,Male,43,Married,PhD,East,1315433
628,Female,42,Single,Bachelor,South,1595854
629,Male,63,Married,PhD,West,473942
630,Male,38,Divorced,Bachelor,North,1964463
631,Male,60,Married,Master,South,1601100
632,Female,67,Married,PhD,West,326047
633,Male,61,Married,Bachelor,West,1365642
634,Male,67,Single,PhD,South,1548779
635,Female,59,Married,High School,East,275213
636,Female,40,Married,Bachelor,East,944371
637,Male,33,Married,Bachelor,South,323694
638,Male,65,Divorced,Master,West,1547818
639,Female,21,Divorced,PhD,North,1983202
640,Female,24,Single,Bachelor,North,1803047
641,Female,44,Divorced,Master,East,1383830
642,Female,56,Single,Master,North,555111
643,Female,56,Divorced,Master,West,959116
644,Male,65,Single,PhD,South,1740805
645,Female,22,Single,PhD,West,1265692
646,Male,48,Single,Bachelor,North,1671785
647,Male,46,Divorced,PhD,West,313723
648,Male,43,Married,PhD,East,1636473
649,Female,35,Divorced,High School,South,1707268
650,Male,56,Married,PhD,South,349280
651,Male,47,Divorced,High School,North,1684711
652,Female,26,Married,Bachelor,North,1173825
653,Male,55,Divorced,Master,West,1253088
654,Male,59,Single,High School,West,1620440
655,Female,58,Single,Bachelor,South,279101
656,Male,55,Single,High School,East,1301370
657,Male,56,Married,PhD,East,755930
658,Male,30,Married,Bachelor,North,1753335
659,Female,50,Single,Master,East,1537711
660,Female,61,Married,High School,South,203096
661,Female,58,Single,PhD,East,1530418
662,Male,49,Divorced,Bachelor,South,1279357
663,Male,63,Married,PhD,North,1698538
664,Female,59,Married,Bachelor,West,312231
665,Male,24,Divorced,High School,East,929539
666,Male,25,Married,Bachelor,South,479629
667,Female,24,Married,High School,North,628136
668,Female,56,Married,Bachelor,South,1374106
669,Male,65,Divorced,PhD,East,1297083
670,Male,36,Single,PhD,South,1473697
671,Male,45,Single,High School,North,1267401
672,Female,34,Divorced,Master,North,1135026
673,Female,31,Divorced,High School,West,1438677
674,Female,49,Divorced,PhD,West,1886248
675,Female,54,Single,Bachelor,East,995221
676,Male,42,Divorced,Master,North,672603
677,Female,34,Single,PhD,East,1154415
678,Female,44,Divorced,Master,North,1080827
679,Female,59,Married,High School,East,1722672
680,Female,46,Single,PhD,North,1811326
681,Female,63,Single,High School,East,718657
682,Male,56,Divorced,PhD,South,1480225
683,Male,59,Married,PhD,West,1850031
684,Female,36,Single,High School,South,1431951
685,Male,58,Divorced,PhD,West,1470683
686,Female,52,Married,Master,East,1934389
687,Female,26,Single,Master,North,766477
688,Male,54,Divorced,High School,North,1783872
689,Male,28,Married,Bachelor,East,1784126
