customer_id,credit_score,risk_segment
148,745,Very Low
149,761,Very Low
150,744,Very Low
151,442,High
152,554,High
153,410,High
154,524,High
155,492,High
156,416,High
157,717,Low
158,687,Low
159,685,Low
160,722,Low
161,554,High
162,597,Medium
163,709,Low
164,665,Medium
165,765,Very Low
166,833,Very Low
167,670,Medium
168,743,Very Low
169,645,Medium
170,704,Low
171,435,High
172,672,Low
173,621,Medium
174,525,High
175,412,High
176,317,High
177,614,Medium
178,421,High
179,715,Low
180,310,High
181,480,High
182,712,Low
183,797,Very Low
184,687,Low
185,519,High
186,436,High
187,612,Medium
188,465,High
189,718,Low
190,730,Low
191,333,High
192,618,Medium
193,564,High
194,574,High
195,709,Low
196,473,High
197,611,Medium
198,565,High
199,713,Low
200,783,Very Low
201,482,High
202,741,Very Low
203,755,Very Low
204,789,Very Low
205,346,High
206,592,Medium
207,378,High
208,484,High
209,771,Very Low
210,628,Medium
211,813,Very Low
212,698,Low
213,595,Medium
214,302,High
215,613,Medium
216,626,Medium
217,649,Medium
218,518,High
219,598,Medium
220,454,High
221,624,Medium
222,302,High
223,359,High
224,497,High
225,662,Medium
226,460,High
227,817,Very Low
228,747,Very Low
229,788,Very Low
230,754,Very Low
231,622,Medium
232,705,Low
233,755,Very Low
234,504,High
235,620,Medium
236,480,High
237,427,High
238,399,High
239,626,Medium
240,541,High
241,344,High
242,331,High
243,839,Very Low
244,652,Medium
245,733,Low
246,467,High
247,730,Low
248,412,High
249,774,Very Low
250,585,Medium
251,845,Very Low
252,300,High
253,717,Low
254,486,High
255,748,Very Low
256,574,High
257,322,High
258,365,High
259,686,Low
260,385,High
261,386,High
262,627,Medium
263,438,High
264,534,High
265,527,High
266,381,High
267,488,High
268,317,High
269,306,High
270,584,Medium
271,496,High
272,699,Low
273,373,High
274,712,Low
275,712,Low
276,315,High
277,559,High
278,364,High
279,371,High
280,805,Very Low
281,430,High
282,365,High
283,656,Medium
284,758,Very Low
285,573,High
286,405,High
287,338,High
288,787,Very Low
289,420,High
290,508,High
291,411,High
292,700,Low
293,300,High
294,590,Medium
295,375,High
296,700,Low
297,830,Very Low
298,392,High
299,798,Very Low
300,704,Low
301,809,Very Low
302,414,High
303,606,Medium
304,415,High
305,407,High
306,517,High
307,336,High
308,335,High
309,624,Medium
310,698,Low
311,632,Medium
312,660,Medium
313,578,High
314,346,High
315,513,High
316,845,Very Low
317,458,High
318,334,High
319,787,Very Low
320,809,Very Low
321,536,High
322,658,Medium
323,346,High
324,400,High
325,727,Low
326,701,Low
327,593,Medium
328,847,Very Low
329,615,Medium
330,536,High
331,728,Low
332,629,Medium
333,758,Very Low
334,312,High
335,484,High
336,381,High
337,666,Medium
338,612,Medium
339,464,High
340,822,Very Low
341,817,Very Low
342,402,High
343,795,Very Low
344,641,Medium
345,458,High
346,445,High
347,485,High
348,500,High
349,329,High
350,462,High
351,828,Very Low
352,524,High
353,623,Medium
354,778,Very Low
355,805,Very Low
356,543,High
357,490,High
358,542,High
359,816,Very Low
360,491,High
361,590,Medium
362,325,High
363,830,Very Low
364,336,High
365,365,High
366,683,Low
367,330,High
368,701,Low
369,502,High
370,571,High
371,813,Very Low
372,545,High
373,779,Very Low
374,675,Low
375,805,Very Low
376,475,High
377,795,Very Low
378,563,High
379,335,High
380,406,High
381,324,High
382,723,Low
383,680,Low
384,778,Very Low
385,454,High
386,788,Very Low
387,721,Low
388,764,Very Low
389,408,High
390,721,Low
391,747,Very Low
392,444,High
393,634,Medium
394,835,Very Low
395,747,Very Low
396,416,High
397,362,High
398,787,Very Low
399,449,High
400,480,High
401,629,Medium
402,567,High
403,755,Very Low
404,403,High
405,680,Low
406,466,High
407,315,High
408,795,Very Low
409,333,High
410,669,Medium
411,373,High
412,835,Very Low
413,541,High
414,756,Very Low
415,539,High
416,699,Low
417,429,High
418,362,High
419,346,High
420,554,High
421,830,Very Low
422,310,High
423,776,Very Low
424,676,Low
425,522,High
426,373,High
427,433,High
428,605,Medium
429,549,High
430,840,Very Low
431,576,High
432,468,High
433,496,High
434,634,Medium
435,739,Low
436,461,High
437,355,High
438,482,High
439,715,Low
440,513,High
441,328,High
442,302,High
443,624,Medium
444,475,High
445,611,Medium
446,453,High
447,692,Low
448,663,Medium
449,657,Medium
450,355,High
451,583,Medium
452,488,High
453,315,High
454,486,High
455,475,High
456,572,High
457,794,Very Low
458,846,Very Low
459,742,Very Low
460,515,High
461,592,Medium
462,412,High
463,329,High
464,637,Medium
465,518,High
466,699,Low
467,346,High
468,340,High
469,552,High
470,652,Medium
471,500,High
472,747,Very Low
473,515,High
474,521,High
475,470,High
476,524,High
477,418,High
478,409,High
479,771,Very Low
480,575,High
481,413,High
482,490,High
483,812,Very Low
484,322,High
485,844,Very Low
486,508,High
487,749,Very Low
488,737,Low
489,545,High
490,464,High
491,547,High
492,690,Low
493,544,High
494,445,High
495,725,Low
496,630,Medium
497,492,High
498,424,High
499,785,Very Low
500,496,High
501,513,High
502,760,Very Low
503,828,Very Low
504,797,Very Low
505,690,Low
506,567,High
507,593,Medium
508,514,High
509,738,Low
510,314,High
511,329,High
512,372,High
513,448,High
514,535,High
515,615,Medium
516,474,High
517,837,Very Low
518,422,High
519,359,High
520,450,High
521,786,Very Low
522,645,Medium
523,368,High
524,482,High
525,679,Low
526,360,High
527,716,Low
528,772,Very Low
529,666,Medium
530,636,Medium
531,555,High
532,659,Medium
533,318,High
534,740,Low
535,387,High
536,702,Low
537,424,High
538,479,High
539,646,Medium
540,767,Very Low
541,682,Low
542,624,Medium
543,501,High
544,415,High
545,382,High
546,745,Very Low
547,414,High
548,384,High
549,494,High
550,358,High
551,532,High
552,446,High
553,657,Medium
554,387,High
555,364,High
556,834,Very Low
557,594,Medium
558,359,High
559,369,High
560,845,Very Low
561,836,Very Low
562,437,High
563,709,Low
564,573,High
565,487,High
566,628,Medium
567,344,High
568,335,High
569,707,Low
570,687,Low
571,650,Medium
572,831,Very Low
573,453,High
574,743,Very Low
575,496,High
576,367,High
577,369,High
578,417,High
579,682,Low
580,690,Low
581,624,Medium
582,559,High
583,500,High
584,848,Very Low
585,417,High
586,813,Very Low
587,530,High
588,316,High
589,795,Very Low
590,606,Medium
591,669,Medium
592,771,Very Low
593,760,Very Low
594,327,High
595,664,Medium
596,761,Very Low
597,514,High
598,700,Low
599,838,Very Low
600,566,High
601,792,Very Low
602,471,High
603,676,Low
604,615,Medium
605,770,Very Low
606,321,High
607,505,High
608,376,High
609,513,High
610,754,Very Low
611,676,Low
612,849,Very Low
613,780,Very Low
614,682,Low
615,450,High
616,682,Low
617,663,Medium
618,634,Medium
619,586,Medium
620,622,Medium
621,725,Low
622,706,Low
623,647,Medium
624,443,High
625,720,Low
626,688,Low
627,534,High
628,576,High
629,701,Low
630,588,Medium
631,709,Low
632,772,Very Low
633,787,Very Low
634,334,High
635,362,High
636,413,High
637,672,Low
638,424,High
639,447,High
640,618,Medium
641,417,High
642,810,Very Low
643,542,High
644,843,Very Low
645,396,High
646,603,Medium
647,553,High
648,675,Low
649,486,High
650,575,High
651,418,High
652,463,High
653,503,High
654,645,Medium
655,333,High
656,817,Very Low
657,705,Low
658,654,Medium
659,382,High
660,450,High
661,413,High
662,471,High
663,310,High
664,616,Medium
665,362,High
666,530,High
667,309,High
668,798,Very Low
669,812,Very Low
670,455,High
671,471,High
672,536,High
673,416,High
674,539,High
675,685,Low
676,469,High
677,720,Low
678,322,High
679,595,Medium
680,512,High
681,458,High
682,520,High
683,533,High
684,773,Very Low
685,780,Very Low
686,679,Low
687,397,High
688,492,High
689,618,Medium
690,737,Low
691,385,High
692,343,High
693,563,High
694,548,High
695,322,High
696,511,High
697,827,Very Low
698,546,High
699,808,Very Low
700,537,High
701,337,High
702,669,Medium
703,731,Low
704,568,High
705,422,High
706,326,High
707,302,High
708,616,Medium
709,371,High
710,444,High
711,709,Low
712,584,Medium
713,371,High
714,478,High
715,342,High
716,499,High
717,708,Low
718,533,High
719,661,Medium
720,801,Very Low
721,423,High
722,610,Medium
723,472,High
724,774,Very Low
725,513,High
726,544,High
727,353,High
728,401,High
729,796,Very Low
730,835,Very Low
731,456,High
732,307,High
733,758,Very Low
734,571,High
735,716,Low
736,619,Medium
737,554,High
738,456,High
739,604,Medium
740,408,High
741,387,High
742,304,High
743,736,Low
744,538,High
745,434,High
746,811,Very Low
747,710,Low
748,500,High
749,681,Low
750,485,High
751,601,Medium
752,602,Medium
753,776,Very Low
754,614,Medium
755,728,Low
756,665,Medium
757,361,High
758,424,High
759,669,Medium
760,567,High
761,813,Very Low
762,341,High
763,481,High
764,310,High
765,539,High
766,668,Medium
767,705,Low
768,512,High
769,408,High
770,476,High
771,336,High
772,558,High
773,460,High
774,374,High
775,498,High
776,336,High
777,847,Very Low
778,586,Medium
779,723,Low
780,737,Low
781,672,Low
782,524,High
783,729,Low
784,469,High
785,669,Medium
786,392,High
787,775,Very Low
788,314,High
789,585,Medium
790,322,High
791,802,Very Low
792,422,High
793,571,High
794,457,High
795,588,Medium
796,740,Low
797,551,High
798,768,Very Low
799,837,Very Low
800,825,Very Low
801,315,High
802,592,Medium
803,550,High
804,460,High
805,557,High
806,844,Very Low
807,362,High
808,639,Medium
809,588,Medium
810,377,High
811,735,Low
812,541,High
813,755,Very Low
814,502,High
815,671,Low
816,530,High
817,786,Very Low
818,476,High
819,602,Medium
820,498,High
821,511,High
822,616,Medium
823,668,Medium
824,816,Very Low
825,458,High
826,739,Low
827,695,Low
828,493,High
829,837,Very Low
830,367,High
831,841,Very Low
832,781,Very Low
833,575,High
834,718,Low
835,634,Medium
836,569,High
837,610,Medium
838,746,Very Low
839,741,Very Low
840,454,High
841,813,Very Low
842,768,Very Low
843,377,High
844,768,Very Low
845,578,High
846,617,Medium
847,411,High
848,627,Medium
849,358,High
850,524,High
851,681,Low
852,634,Medium
853,604,Medium
854,430,High
855,501,High
856,573,High
857,532,High
858,743,Very Low
859,522,High
860,649,Medium
861,528,High
862,311,High
863,828,Very Low
864,518,High
865,604,Medium
866,838,Very Low
867,545,High
868,482,High
869,788,Very Low
870,696,Low
871,814,Very Low
872,515,High
873,523,High
874,400,High
875,654,Medium
876,829,Very Low
877,481,High
878,785,Very Low
879,619,Medium
880,336,High
881,410,High
882,505,High
883,811,Very Low
884,660,Medium
885,643,Medium
886,652,Medium
887,840,Very Low
888,672,Low
889,753,Very Low
890,445,High
891,672,Low
892,341,High
893,607,Medium
894,719,Low
895,522,High
896,507,High
897,426,High
898,301,High
899,659,Medium
900,316,High
901,481,High
902,683,Low
903,526,High
904,408,High
905,449,High
906,727,Low
907,663,Medium
908,453,High
909,309,High
910,301,High
911,840,Very Low
912,770,Very Low
913,680,Low
914,388,High
915,809,Very Low
916,534,High
917,513,High
918,638,Medium
919,514,High
920,808,Very Low
921,722,Low
922,754,Very Low
923,745,Very Low
924,552,High
925,458,High
926,434,High
927,426,High
928,584,Medium
929,350,High
930,539,High
931,378,High
932,478,High
933,313,High
934,393,High
935,322,High
936,379,High
937,643,Medium
938,704,Low
939,406,High
940,759,Very Low
941,664,Medium
942,723,Low
943,393,High
944,401,High
945,833,Very Low
946,685,Low
947,514,High
948,769,Very Low
949,489,High
950,841,Very Low
951,454,High
952,758,Very Low
953,336,High
954,625,Medium
955,827,Very Low
956,423,High
957,319,High
958,528,High
959,678,Low
960,629,Medium
961,708,Low
962,614,Medium
963,517,High
964,763,Very Low
965,693,Low
966,444,High
967,328,High
968,537,High
969,585,Medium
970,488,High
971,503,High
972,461,High
973,633,Medium
974,451,High
975,550,High
976,836,Very Low
977,644,Medium
978,404,High
979,580,High
980,457,High
981,531,High
982,722,Low
983,504,High
984,827,Very Low
985,475,High
986,451,High
987,429,High
988,776,Very Low
989,338,High
990,658,Medium
991,508,High
992,742,Very Low
993,823,Very Low
994,376,High
995,442,High
996,800,Very Low
997,359,High
998,619,Medium
999,463,High
1000,514,High
1001,568,High
1002,339,High
1003,747,Very Low
1004,338,High
1005,472,High
1006,461,High
1007,534,High
1008,681,Low
1009,316,High
1010,412,High
1011,334,High
1012,503,High
1013,462,High
1014,656,Medium
1015,561,High
1016,735,Low
1017,373,High
1018,706,Low
1019,415,High
1020,470,High
1021,736,Low
1022,750,Very Low
1023,493,High
1024,717,Low
1025,765,Very Low
1026,796,Very Low
1027,747,Very Low
1028,487,High
1029,508,High
1030,372,High
1031,395,High
1032,822,Very Low
1033,303,High
1034,350,High
1035,593,Medium
1036,580,High
1037,432,High
1038,637,Medium
1039,322,High
1040,785,Very Low
1041,825,Very Low
1042,386,High
1043,347,High
1044,748,Very Low
1045,817,Very Low
1046,326,High
1047,624,Medium
1048,774,Very Low
1049,805,Very Low
1050,791,Very Low
1051,452,High
1052,798,Very Low
1053,378,High
1054,345,High
1055,731,Low
1056,721,Low
1057,572,High
1058,332,High
1059,829,Very Low
1060,335,High
1061,388,High
1062,330,High
1063,320,High
1064,656,Medium
1065,589,Medium
1066,484,High
1067,610,Medium
1068,834,Very Low
1069,668,Medium
1070,630,Medium
1071,703,Low
1072,656,Medium
1073,398,High
1074,550,High
1075,595,Medium
1076,707,Low
1077,658,Medium
1078,308,High
1079,598,Medium
1080,642,Medium
1081,503,High
1082,449,High
1083,309,High
1084,509,High
1085,687,Low
1086,329,High
1087,768,Very Low
1088,449,High
1089,391,High
1090,663,Medium
1091,596,Medium
1092,788,Very Low
1093,784,Very Low
1094,735,Low
1095,313,High
1096,658,Medium
1097,340,High
1098,386,High
1099,707,Low
1100,374,High
1101,318,High
1102,439,High
1103,430,High
1104,485,High
1105,666,Medium
1106,473,High
1107,478,High
1108,826,Very Low
1109,705,Low
1110,564,High
1111,647,Medium
1112,338,High
1113,530,High
1114,786,Very Low
1115,623,Medium
1116,356,High
1117,751,Very Low
1118,562,High
1119,813,Very Low
1120,353,High
1121,720,Low
1122,711,Low
1123,358,High
1124,729,Low
1125,746,Very Low
1126,718,Low
1127,393,High
1128,512,High
1129,511,High
1130,432,High
1131,465,High
1132,531,High
1133,324,High
1134,698,Low
1135,347,High
1136,351,High
1137,359,High
1138,772,Very Low
1139,752,Very Low
1140,836,Very Low
1141,482,High
1142,538,High
1143,363,High
1144,620,Medium
1145,815,Very Low
1146,837,Very Low
1147,825,Very Low
1148,717,Low
1149,710,Low
1150,320,High
1151,846,Very Low
1152,753,Very Low
1153,782,Very Low
1154,453,High
1155,304,High
1156,611,Medium
1157,621,Medium
1158,819,Very Low
1159,363,High
1160,731,Low
1161,668,Medium
1162,314,High
1163,781,Very Low
1164,623,Medium
1165,618,Medium
1166,390,High
1167,602,Medium
1168,568,High
1169,779,Very Low
1170,398,High
1171,667,Medium
1172,601,Medium
1173,309,High
1174,738,Low
1175,834,Very Low
1176,578,High
1177,367,High
1178,432,High
1179,815,Very Low
1180,713,Low
1181,404,High
1182,524,High
1183,539,High
1184,417,High
1185,829,Very Low
1186,715,Low
1187,716,Low
1188,411,High
1189,313,High
1190,799,Very Low
1191,528,High
1192,702,Low
1193,406,High
1194,538,High
1195,302,High
1196,626,Medium
1197,737,Low
1198,337,High
1199,675,Low
1200,305,High
1201,607,Medium
1202,421,High
1203,471,High
1204,719,Low
1205,619,Medium
1206,546,High
1207,492,High
1208,731,Low
1209,464,High
1210,550,High
1211,647,Medium
1212,348,High
1213,610,Medium
1214,338,High
1215,463,High
1216,493,High
1217,749,Very Low
1218,367,High
1219,573,High
1220,422,High
1221,802,Very Low
1222,466,High
1223,758,Very Low
1224,814,Very Low
1225,327,High
1226,443,High
1227,782,Very Low
1228,422,High
1229,415,High
1230,321,High
1231,635,Medium
1232,632,Medium
1233,348,High
1234,808,Very Low
1235,583,Medium
1236,535,High
1237,699,Low
1238,363,High
1239,487,High
1240,493,High
1241,325,High
1242,469,High
1243,686,Low
1244,576,High
1245,496,High
1246,323,High
1247,554,High
1248,307,High
1249,772,Very Low
1250,665,Medium
1251,311,High
1252,371,High
1253,362,High
1254,462,High
1255,849,Very Low
1256,576,High
1257,701,Low
1258,805,Very Low
1259,831,Very Low
1260,778,Very Low
1261,509,High
1262,763,Very Low
1263,544,High
1264,728,Low
1265,547,High
1266,347,High
1267,313,High
1268,690,Low
1269,412,High
1270,363,High
1271,584,Medium
1272,386,High
1273,794,Very Low
1274,548,High
1275,525,High
1276,482,High
1277,380,High
1278,685,Low
1279,392,High
1280,765,Very Low
1281,786,Very Low
1282,405,High
1283,335,High
1284,448,High
1285,685,Low
1286,682,Low
1287,501,High
1288,745,Very Low
1289,567,High
1290,558,High
1291,553,High
1292,564,High
1293,729,Low
1294,330,High
1295,464,High
1296,582,Medium
1297,369,High
1298,534,High
1299,393,High
1300,598,Medium
1301,561,High
1302,440,High
1303,529,High
1304,562,High
1305,398,High
1306,602,Medium
1307,562,High
1308,512,High
1309,702,Low
1310,582,Medium
1311,360,High
1312,739,Low
1313,656,Medium
1314,407,High
1315,439,High
1316,542,High
1317,640,Medium
1318,641,Medium
1319,523,High
1320,472,High
1321,482,High
1322,754,Very Low
1323,397,High
1324,493,High
1325,683,Low
1326,657,Medium
1327,723,Low
1328,689,Low
1329,444,High
1330,809,Very Low
1331,720,Low
1332,384,High
1333,327,High
1334,474,High
1335,536,High
1336,409,High
1337,785,Very Low
1338,687,Low
1339,488,High
1340,573,High
1341,807,Very Low
1342,544,High
1343,812,Very Low
1344,334,High
1345,560,High
1346,561,High
1347,359,High
1348,399,High
1349,535,High
1350,554,High
1351,339,High
1352,536,High
1353,535,High
1354,373,High
1355,328,High
1356,743,Very Low
1357,322,High
1358,815,Very Low
1359,543,High
1360,845,Very Low
1361,326,High
1362,382,High
1363,458,High
1364,776,Very Low
1365,470,High
1366,494,High
1367,530,High
1368,430,High
1369,799,Very Low
1370,760,Very Low
1371,326,High
1372,544,High
1373,429,High
1374,619,Medium
1375,531,High
1376,471,High
1377,538,High
1378,631,Medium
1379,706,Low
1380,821,Very Low
1381,590,Medium
1382,481,High
1383,679,Low
1384,381,High
1385,636,Medium
1386,359,High
1387,670,Medium
1388,582,Medium
1389,720,Low
1390,360,High
1391,703,Low
1392,477,High
1393,720,Low
1394,432,High
1395,629,Medium
1396,309,High
1397,564,High
1398,588,Medium
1399,707,Low
1400,369,High
1401,806,Very Low
1402,356,High
1403,837,Very Low
1404,471,High
1405,619,Medium
1406,794,Very Low
1407,731,Low
1408,494,High
1409,347,High
1410,473,High
1411,651,Medium
1412,697,Low
1413,559,High
1414,810,Very Low
1415,673,Low
1416,539,High
1417,302,High
1418,597,Medium
1419,548,High
1420,763,Very Low
1421,446,High
1422,455,High
1423,593,Medium
1424,416,High
1425,803,Very Low
1426,409,High
1427,755,Very Low
1428,418,High
1429,353,High
1430,839,Very Low
1431,683,Low
1432,749,Very Low
1433,539,High
1434,555,High
1435,455,High
1436,324,High
1437,553,High
1438,398,High
1439,679,Low
1440,526,High
1441,716,Low
1442,791,Very Low
1443,469,High
1444,838,Very Low
1445,529,High
1446,307,High
1447,489,High
1448,671,Low
1449,303,High
1450,353,High
1451,475,High
1452,752,Very Low
1453,445,High
1454,548,High
1455,328,High
1456,448,High
1457,786,Very Low
1458,493,High
1459,379,High
1460,388,High
1461,450,High
1462,808,Very Low
1463,616,Medium
1464,479,High
1465,704,Low
1466,484,High
1467,591,Medium
1468,787,Very Low
1469,493,High
1470,342,High
1471,742,Very Low
1472,501,High
1473,372,High
1474,520,High
1475,687,Low
1476,832,Very Low
1477,303,High
1478,687,Low
1479,460,High
1480,795,Very Low
1481,387,High
1482,489,High
1483,388,High
1484,434,High
1485,793,Very Low
1486,560,High
1487,312,High
1488,685,Low
1489,549,High
1490,802,Very Low
1491,390,High
1492,562,High
1493,693,Low
1494,721,Low
1495,485,High
1496,786,Very Low
1497,512,High
1498,670,Medium
1499,747,Very Low
1500,339,High
1501,451,High
1502,794,Very Low
1503,613,Medium
1504,806,Very Low
1505,477,High
1506,437,High
1507,383,High
1508,318,High
1509,329,High
1510,612,Medium
1511,571,High
1512,321,High
1513,609,Medium
1514,383,High
1515,788,Very Low
1516,702,Low
1517,816,Very Low
1518,781,Very Low
1519,575,High
1520,698,Low
1521,849,Very Low
1522,428,High
1523,304,High
1524,781,Very Low
1525,737,Low
1526,616,Medium
1527,424,High
1528,375,High
1529,582,Medium
1530,795,Very Low
1531,646,Medium
1532,429,High
1533,651,Medium
1534,444,High
1535,784,Very Low
1536,544,High
1537,543,High
1538,418,High
1539,739,Low
1540,812,Very Low
1541,470,High
1542,599,Medium
1543,489,High
1544,591,Medium
1545,832,Very Low
1546,386,High
1547,701,Low
1548,484,High
1549,799,Very Low
1550,489,High
1551,428,High
1552,740,Low
1553,409,High
1554,431,High
1555,784,Very Low
1556,498,High
1557,374,High
1558,503,High
1559,352,High
1560,338,High
1561,590,Medium
1562,781,Very Low
1563,637,Medium
1564,693,Low
1565,350,High
1566,491,High
1567,614,Medium
1568,412,High
1569,414,High
1570,316,High
1571,505,High
1572,556,High
1573,387,High
1574,673,Low
1575,612,Medium
1576,822,Very Low
1577,504,High
1578,385,High
1579,340,High
1580,841,Very Low
1581,580,High
1582,555,High
1583,619,Medium
1584,516,High
1585,402,High
1586,708,Low
1587,749,Very Low
1588,555,High
1589,385,High
1590,546,High
1591,483,High
1592,458,High
1593,802,Very Low
1594,533,High
1595,675,Low
1596,359,High
1597,720,Low
1598,468,High
1599,473,High
1600,371,High
1601,438,High
1602,473,High
1603,364,High
1604,331,High
1605,663,Medium
1606,742,Very Low
1607,430,High
1608,549,High
1609,436,High
1610,435,High
1611,810,Very Low
1612,373,High
1613,679,Low
1614,819,Very Low
1615,578,High
1616,701,Low
1617,646,Medium
1618,830,Very Low
1619,680,Low
1620,360,High
1621,487,High
1622,685,Low
1623,802,Very Low
1624,477,High
1625,626,Medium
1626,476,High
1627,413,High
1628,507,High
1629,754,Very Low
1630,829,Very Low
1631,443,High
1632,402,High
1633,363,High
1634,577,High
1635,377,High
1636,334,High
1637,726,Low
1638,630,Medium
1639,430,High
1640,756,Very Low
1641,406,High
1642,738,Low
1643,574,High
1644,578,High
1645,559,High
1646,303,High
1647,486,High
1648,517,High
1649,585,Medium
1650,657,Medium
1651,460,High
1652,507,High
1653,716,Low
1654,831,Very Low
1655,347,High
1656,838,Very Low
1657,769,Very Low
1658,454,High
1659,365,High
1660,529,High
1661,514,High
1662,311,High
1663,528,High
1664,541,High
1665,809,Very Low
1666,512,High
1667,411,High
1668,502,High
1669,640,Medium
1670,336,High
1671,389,High
1672,744,Very Low
1673,626,Medium
1674,401,High
1675,774,Very Low
1676,828,Very Low
1677,477,High
1678,718,Low
1679,817,Very Low
1680,814,Very Low
1681,334,High
1682,538,High
1683,749,Very Low
1684,350,High
1685,372,High
1686,466,High
1687,474,High
1688,591,Medium
1689,321,High
1690,471,High
1691,488,High
1692,544,High
1693,798,Very Low
1694,436,High
1695,603,Medium
1696,573,High
1697,389,High
1698,681,Low
1699,456,High
1700,466,High
1701,706,Low
1702,323,High
1703,599,Medium
1704,394,High
1705,768,Very Low
1706,757,Very Low
1707,815,Very Low
1708,829,Very Low
1709,743,Very Low
1710,619,Medium
1711,703,Low
1712,591,Medium
1713,603,Medium
1714,544,High
1715,543,High
1716,724,Low
1717,387,High
1718,361,High
1719,712,Low
1720,309,High
1721,744,Very Low
1722,355,High
1723,564,High
1724,567,High
1725,685,Low
1726,773,Very Low
1727,316,High
1728,334,High
1729,762,Very Low
1730,499,High
1731,589,Medium
1732,310,High
1733,309,High
1734,381,High
1735,637,Medium
1736,774,Very Low
1737,478,High
1738,652,Medium
1739,388,High
1740,486,High
1741,813,Very Low
1742,432,High
1743,803,Very Low
1744,791,Very Low
1745,624,Medium
1746,741,Very Low
1747,406,High
1748,468,High
1749,623,Medium
1750,808,Very Low
1751,445,High
1752,394,High
1753,708,Low
1754,695,Low
1755,366,High
1756,517,High
1757,511,High
1758,720,Low
1759,459,High
1760,782,Very Low
1761,640,Medium
1762,479,High
1763,553,High
1764,483,High
1765,685,Low
1766,542,High
1767,827,Very Low
1768,437,High
1769,647,Medium
1770,425,High
1771,644,Medium
1772,506,High
1773,701,Low
1774,557,High
1775,427,High
1776,595,Medium
1777,522,High
1778,827,Very Low
1779,469,High
1780,660,Medium
1781,848,Very Low
1782,433,High
1783,761,Very Low
1784,705,Low
1785,669,Medium
1786,473,High
1787,595,Medium
1788,609,Medium
1789,345,High
1790,719,Low
1791,596,Medium
1792,470,High
1793,616,Medium
1794,572,High
1795,814,Very Low
1796,377,High
1797,502,High
1798,329,High
1799,320,High
1800,443,High
1801,692,Low
1802,661,Medium
1803,622,Medium
1804,570,High
1805,830,Very Low
1806,825,Very Low
1807,442,High
1808,566,High
1809,362,High
1810,494,High
1811,431,High
1812,324,High
1813,373,High
1814,509,High
1815,524,High
1816,718,Low
1817,708,Low
1818,430,High
1819,477,High
1820,824,Very Low
1821,590,Medium
1822,772,Very Low
1823,445,High
1824,329,High
1825,339,High
1826,329,High
1827,485,High
1828,643,Medium
1829,652,Medium
1830,371,High
1831,311,High
1832,691,Low
1833,377,High
1834,573,High
1835,535,High
1836,403,High
1837,693,Low
1838,336,High
1839,584,Medium
1840,403,High
1841,599,Medium
1842,829,Very Low
1843,534,High
1844,664,Medium
1845,831,Very Low
1846,724,Low
1847,802,Very Low
1848,653,Medium
1849,462,High
1850,484,High
1851,675,Low
1852,573,High
1853,396,High
1854,804,Very Low
1855,442,High
1856,728,Low
1857,674,Low
1858,830,Very Low
1859,344,High
1860,402,High
1861,551,High
1862,456,High
1863,781,Very Low
1864,315,High
1865,449,High
1866,627,Medium
1867,610,Medium
1868,781,Very Low
1869,807,Very Low
1870,372,High
1871,398,High
1872,694,Low
1873,510,High
1874,736,Low
1875,844,Very Low
1876,498,High
