loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term,issue_date
122,5669,Education Loan,4591135,15.69,60,2022-03-08
123,16231,Education Loan,2533224,15.53,36,2016-05-10
124,7137,Education Loan,4905784,12.38,60,2023-07-20
125,11819,Personal Loan,2005475,9.6,60,2016-11-05
126,5507,Home Loan,4559838,15.97,24,2021-11-07
127,10799,Auto Loan,604539,7.9,60,2021-12-24
128,1082,Education Loan,789434,16.9,60,2020-12-30
129,9450,Home Loan,3058352,14.16,24,2018-03-28
130,18392,Home Loan,109537,6.59,24,2023-03-31
131,16515,Home Loan,3505092,17.5,240,2017-01-30
132,6399,Auto Loan,1783656,14.36,36,2020-11-12
133,18456,Personal Loan,2897234,14.46,36,2016-10-18
134,10854,Auto Loan,2036572,8.36,120,2018-12-11
135,18583,Education Loan,107455,12.63,36,2015-04-08
136,14185,Home Loan,737495,16.08,36,2018-02-23
137,5942,Education Loan,549209,14.59,36,2017-02-08
138,8315,Auto Loan,4096238,7.8,60,2024-01-04
139,15615,Auto Loan,3814286,9.69,120,2018-01-20
140,15070,Personal Loan,1480339,6.99,120,2024-11-15
141,5757,Auto Loan,4278111,7.65,60,2019-12-27
142,10822,Personal Loan,2068304,10.22,120,2018-11-03
143,4369,Home Loan,1392875,10.21,36,2022-07-12
144,11243,Home Loan,3747470,17.18,36,2021-07-01
145,18555,Auto Loan,117725,8.65,24,2018-08-21
146,2301,Education Loan,2578593,16.54,24,2023-02-18
147,4121,Auto Loan,2320962,16.37,120,2018-11-13
148,1502,Personal Loan,1042771,11.78,24,2016-03-01
149,16875,Personal Loan,3641744,15.9,60,2018-08-13
150,2560,Education Loan,3880007,14.04,60,2017-06-26
151,9648,Home Loan,775970,8.08,60,2020-03-19
152,19897,Auto Loan,4038166,8.28,240,2018-12-12
153,13937,Home Loan,1689393,8.75,60,2023-04-14
154,2346,Auto Loan,3589323,15.15,12,2018-03-24
155,1163,Personal Loan,1760835,11.18,60,2024-06-01
156,18716,Auto Loan,4041628,7.2,24,2024-08-13
157,19628,Education Loan,1853104,16.29,240,2018-11-20
158,1152,Auto Loan,3197733,10.89,240,2024-03-01
159,19842,Education Loan,554992,8.75,12,2023-10-07
160,2665,Auto Loan,851839,10.55,12,2024-05-03
161,7577,Personal Loan,3974675,12.45,24,2016-01-15
162,11133,Auto Loan,4651775,13.32,36,2020-06-17
163,8739,Personal Loan,543924,12.07,36,2024-04-09
164,13911,Personal Loan,3134738,6.07,36,2017-10-03
165,12834,Personal Loan,1979778,13.98,36,2015-10-03
166,14472,Auto Loan,1905944,12.96,60,2015-10-15
167,10946,Auto Loan,1968866,6.73,12,2020-06-17
168,19386,Home Loan,1100558,12.86,60,2016-03-20
169,4653,Personal Loan,3623244,10.67,120,2018-03-04
170,16631,Education Loan,3080184,12.74,36,2022-11-09
171,4238,Auto Loan,1297934,17.11,120,2023-06-08
172,4656,Auto Loan,4732323,8.57,240,2024-08-15
173,13554,Home Loan,2098069,8.11,24,2019-05-27
174,6797,Personal Loan,3610297,16.39,60,2019-08-09
175,17647,Personal Loan,1394028,16.82,240,2023-09-18
176,3252,Personal Loan,3439639,16.84,24,2022-04-06
177,15411,Auto Loan,3364498,15.99,24,2024-10-17
178,12976,Personal Loan,2803040,13.41,120,2016-02-11
179,9898,Personal Loan,3345975,14.73,240,2019-02-24
180,11680,Auto Loan,3928681,6.47,60,2023-10-14
181,4580,Education Loan,3037183,8.45,24,2021-07-06
182,17892,Auto Loan,909749,9.18,24,2021-06-04
183,6883,Education Loan,2355357,17.92,240,2023-05-11
184,12684,Auto Loan,1267854,17.15,36,2017-05-16
185,8659,Personal Loan,2381149,8.84,120,2024-01-24
186,9151,Personal Loan,551610,7.69,12,2023-09-11
187,8424,Education Loan,490392,11.35,120,2020-03-22
188,9981,Education Loan,3667514,16.58,24,2021-03-27
189,15523,Auto Loan,1218191,9.58,12,2020-06-28
190,6528,Home Loan,2629426,15.98,24,2019-07-27
191,16970,Personal Loan,2653674,7.93,24,2024-04-05
192,14195,Personal Loan,4266696,7.83,36,2023-06-11
193,2401,Home Loan,4169600,12.61,12,2019-01-03
194,19375,Education Loan,1779591,7.41,24,2019-01-08
195,15140,Personal Loan,417977,17.95,60,2022-11-14
196,99,Home Loan,831415,9.87,120,2022-05-13
197,1911,Personal Loan,1219229,6.11,60,2023-12-17
198,9419,Auto Loan,3553210,10.53,12,2016-11-10
199,1188,Personal Loan,784835,10.32,12,2020-02-29
200,8479,Education Loan,4610333,12.26,240,2017-05-10
201,2019,Auto Loan,1826809,12.49,120,2015-02-17
202,4764,Auto Loan,848611,8.83,12,2020-07-22
203,12353,Education Loan,1268961,17.41,120,2022-07-23
204,10399,Auto Loan,1680208,12.56,12,2016-01-29
205,2164,Personal Loan,109189,10.49,12,2017-05-15
206,3112,Education Loan,4662795,14.69,120,2024-06-05
207,13964,Education Loan,2697743,6.18,60,2022-03-21
208,14284,Education Loan,4605400,14.45,120,2017-11-10
209,13147,Personal Loan,4467317,13.43,240,2020-01-20
210,5742,Auto Loan,2400317,9.66,60,2017-07-26
211,4945,Auto Loan,2997266,13.33,36,2022-12-06
212,16884,Personal Loan,3916352,10.3,36,2019-01-05
213,1689,Education Loan,1072375,7.33,120,2020-11-06
214,11870,Education Loan,1196573,13.5,240,2021-11-20
215,16010,Auto Loan,3953747,8.03,120,2023-04-04
216,16744,Education Loan,2310773,14.08,120,2018-11-03
217,4164,Personal Loan,2125062,11.56,120,2019-02-21
218,19685,Personal Loan,4622638,12.02,36,2019-11-30
219,18191,Auto Loan,312617,7.57,60,2020-07-18
220,3575,Auto Loan,2244845,11.69,240,2022-08-22
221,16993,Personal Loan,2428916,13.92,24,2015-10-04
222,14771,Personal Loan,3740832,17.65,36,2015-11-12
223,6157,Home Loan,4068371,6.41,36,2021-08-06
224,8913,Personal Loan,2408435,14.39,240,2020-07-27
225,16443,Auto Loan,4377171,8.55,240,2015-03-16
226,17977,Personal Loan,3545543,8.59,120,2024-12-21
227,4790,Home Loan,639929,14.85,60,2019-09-02
228,1832,Education Loan,518020,10.03,24,2018-08-15
229,15710,Education Loan,2830032,11.48,120,2020-12-23
230,11364,Education Loan,4829811,17.11,60,2015-06-09
231,15647,Auto Loan,1579892,6.11,12,2023-04-30
232,8461,Personal Loan,734552,9.1,120,2021-09-06
233,19224,Education Loan,1012971,8.66,36,2018-05-27
234,497,Education Loan,642211,7.4,24,2022-04-19
235,5176,Personal Loan,2391580,16.02,12,2016-10-19
236,12590,Education Loan,340241,9.22,36,2024-06-07
237,770,Personal Loan,1874130,17.64,240,2016-08-09
238,11062,Personal Loan,672056,12.12,240,2019-09-08
239,592,Education Loan,2318246,14.36,36,2021-11-21
240,18932,Auto Loan,3848761,7.22,36,2018-10-22
241,15820,Home Loan,4039941,14.51,120,2022-08-16
242,17770,Auto Loan,466427,8.82,120,2015-08-24
243,9861,Auto Loan,4198509,15.19,24,2019-08-04
244,13841,Personal Loan,870574,17.36,24,2024-02-08
245,12436,Education Loan,1343610,10.59,240,2023-04-14
246,18088,Auto Loan,2362644,12.52,36,2024-02-13
247,19929,Education Loan,4255336,10.02,12,2022-10-25
248,4690,Home Loan,3434489,6.41,120,2018-08-27
249,17814,Auto Loan,3886650,6.95,240,2017-04-17
250,5941,Personal Loan,1808991,11.37,24,2018-06-23
251,3752,Education Loan,1145341,18.0,60,2020-09-21
252,17327,Personal Loan,3023323,16.68,12,2021-11-25
253,16842,Education Loan,4101691,9.27,12,2015-02-23
254,12497,Education Loan,2450412,17.44,36,2021-01-25
255,11632,Auto Loan,4083968,9.12,120,2018-01-03
256,6939,Personal Loan,3361179,16.9,240,2015-07-27
257,9501,Auto Loan,80841,8.1,24,2015-01-30
258,13318,Education Loan,1552296,17.18,60,2018-03-18
259,9364,Personal Loan,2023901,8.71,12,2015-02-25
260,5093,Education Loan,3346743,7.4,24,2022-07-14
261,1867,Home Loan,1503945,12.87,120,2018-06-24
262,16018,Personal Loan,827854,9.14,36,2020-06-05
263,10855,Education Loan,3027027,7.53,240,2020-03-18
264,19478,Home Loan,4522872,10.96,12,2023-11-27
265,7146,Personal Loan,2115327,17.33,120,2018-08-25
266,8569,Auto Loan,3308318,17.09,24,2022-10-25
267,11541,Personal Loan,4316747,6.29,12,2015-03-19
268,13120,Education Loan,1085501,13.67,12,2019-10-23
269,7944,Home Loan,4541199,12.69,36,2024-03-15
270,3782,Education Loan,4545114,14.63,12,2020-07-16
271,6775,Home Loan,1052692,10.45,120,2022-09-21
272,2915,Education Loan,471466,11.56,60,2024-04-27
273,19638,Home Loan,2031148,8.27,120,2020-03-18
274,18798,Education Loan,374646,14.41,240,2022-05-01
275,4397,Personal Loan,1771136,15.95,24,2018-08-10
276,4600,Auto Loan,3739897,7.66,240,2022-03-30
277,7478,Personal Loan,1899254,8.92,12,2018-01-04
278,1104,Education Loan,73783,12.43,60,2019-11-29
279,11467,Auto Loan,4689118,10.91,60,2015-06-24
280,10288,Personal Loan,3738373,9.4,24,2020-07-23
281,18730,Education Loan,4022673,11.75,240,2018-12-14
282,11962,Home Loan,1873092,7.05,240,2018-05-28
283,17108,Personal Loan,2865049,10.26,120,2017-02-23
284,17233,Education Loan,558279,11.32,120,2017-07-04
285,9695,Personal Loan,286519,6.97,36,2017-02-19
286,3060,Personal Loan,2440572,16.9,240,2023-08-18
287,14768,Auto Loan,3858706,7.55,24,2016-03-26
288,10912,Auto Loan,4255174,12.64,12,2024-01-04
289,15752,Personal Loan,864324,14.98,36,2022-10-04
290,5170,Home Loan,1757915,6.62,120,2018-11-03
291,7561,Auto Loan,2157519,6.36,24,2024-05-10
292,11898,Personal Loan,1132392,13.27,24,2021-05-04
293,3397,Personal Loan,3005879,9.2,12,2023-05-19
294,2477,Home Loan,2058011,8.81,36,2022-02-28
295,16098,Auto Loan,924826,13.17,12,2020-01-02
296,9169,Education Loan,3214077,17.79,24,2017-09-14
297,10809,Education Loan,2250302,9.65,36,2022-02-28
298,6298,Personal Loan,1868909,15.58,24,2021-07-31
299,18034,Education Loan,4988560,14.75,24,2018-11-19
300,11745,Home Loan,991195,9.03,120,2022-08-15
301,16955,Personal Loan,2488930,6.53,36,2020-05-19
302,10708,Home Loan,1239835,11.12,24,2023-10-06
303,13628,Personal Loan,1824098,17.34,24,2024-05-23
304,3631,Auto Loan,437895,6.0,36,2020-01-13
305,9895,Education Loan,4390482,13.08,120,2022-04-13
306,7579,Home Loan,1921570,11.58,36,2016-04-24
307,8104,Personal Loan,2408077,13.4,36,2019-02-18
308,2530,Auto Loan,1878883,12.87,12,2018-12-27
309,16453,Home Loan,4680642,8.24,120,2020-04-27
310,5706,Auto Loan,192876,14.23,12,2024-04-08
311,63,Education Loan,225064,10.46,60,2022-12-03
312,8872,Personal Loan,2777714,8.26,120,2015-03-25
313,6236,Education Loan,1038410,9.88,12,2024-11-13
314,16373,Auto Loan,3476562,9.45,120,2017-04-17
315,18754,Home Loan,4626104,8.75,120,2016-03-26
316,14029,Education Loan,4953684,7.26,60,2023-03-14
317,3363,Auto Loan,434698,16.92,12,2018-10-31
318,9663,Personal Loan,4203089,17.97,12,2020-06-07
319,5157,Home Loan,1819757,14.05,36,2018-10-01
320,11775,Education Loan,4424601,16.8,36,2021-09-28
321,4762,Education Loan,603824,11.73,240,2016-03-22
322,10851,Personal Loan,4422388,7.45,60,2017-08-11
323,5489,Education Loan,3524759,13.35,120,2022-08-14
324,12810,Home Loan,4186772,7.09,12,2016-12-07
325,542,Auto Loan,3371759,6.99,120,2021-11-25
326,17995,Auto Loan,4647038,17.51,120,2018-03-08
327,11920,Auto Loan,3813417,16.8,12,2019-12-14
328,4214,Auto Loan,3318040,15.41,12,2020-11-28
329,1576,Education Loan,3556448,12.93,60,2017-04-09
330,16385,Personal Loan,146923,14.46,60,2022-04-29
331,6919,Education Loan,2081079,9.59,60,2018-04-13
332,16681,Personal Loan,871641,11.82,12,2017-09-14
333,10564,Education Loan,1001611,15.26,36,2020-11-16
334,19970,Home Loan,135559,12.06,24,2016-08-25
335,9489,Auto Loan,3505980,16.53,240,2021-09-05
336,14824,Auto Loan,720330,11.03,24,2018-07-10
337,17801,Personal Loan,189069,6.05,240,2018-09-29
338,5771,Education Loan,4426514,13.68,12,2016-12-22
339,14931,Home Loan,1914673,8.17,24,2016-07-31
340,16463,Personal Loan,548828,10.98,240,2017-10-28
341,15791,Personal Loan,668861,8.47,120,2022-07-05
342,18107,Personal Loan,1095831,15.39,120,2015-10-23
343,15905,Home Loan,3879347,14.44,12,2018-04-17
344,2690,Education Loan,4814850,14.69,240,2016-10-27
345,4098,Auto Loan,1489918,11.12,120,2024-03-08
346,1084,Auto Loan,4777302,13.9,24,2016-10-16
347,14458,Education Loan,2421398,6.92,12,2020-09-14
348,15442,Personal Loan,1850131,8.97,12,2016-09-07
349,19102,Home Loan,2114323,7.44,240,2022-01-12
350,3797,Education Loan,4420479,15.09,120,2016-12-25
351,14915,Education Loan,3691386,13.05,120,2023-03-17
352,10214,Auto Loan,3440371,7.34,24,2017-04-10
353,19396,Personal Loan,4150694,16.73,36,2016-03-22
354,1185,Education Loan,3308590,11.34,12,2023-04-12
355,1250,Education Loan,3144751,12.54,60,2021-04-28
356,15149,Auto Loan,332034,11.55,240,2024-09-16
357,16566,Personal Loan,2816308,6.03,120,2023-06-04
358,9531,Home Loan,2521887,17.93,24,2016-02-15
359,16904,Auto Loan,2109097,11.65,240,2022-04-10
360,6514,Home Loan,2452497,14.98,24,2022-10-23
361,7951,Home Loan,2639298,16.8,60,2023-06-10
362,6783,Personal Loan,3120666,17.71,24,2019-10-31
363,1695,Home Loan,3415860,15.46,60,2021-10-09
364,4672,Auto Loan,951979,11.81,60,2020-07-30
365,12293,Personal Loan,2711188,16.0,36,2021-08-16
366,1194,Home Loan,2967016,11.93,12,2024-05-18
367,19818,Education Loan,783092,12.19,24,2022-07-03
368,10126,Home Loan,2204115,11.95,240,2019-10-15
369,5133,Auto Loan,2009115,15.6,60,2019-07-04
370,9008,Personal Loan,2818731,15.02,36,2023-10-10
371,19354,Personal Loan,1019284,8.63,60,2015-01-20
372,17620,Home Loan,3576630,7.19,60,2021-09-16
373,11167,Education Loan,2799781,9.97,36,2018-01-16
374,14372,Home Loan,3140830,9.21,240,2023-01-30
375,2277,Auto Loan,2470660,7.89,240,2017-09-06
376,14975,Personal Loan,1807577,6.32,12,2017-11-10
377,2653,Personal Loan,2606143,10.57,240,2018-03-25
378,9307,Home Loan,61311,6.31,12,2022-09-26
379,3844,Education Loan,4683173,8.44,12,2015-03-04
380,715,Auto Loan,2420630,6.76,240,2019-11-03
381,15577,Education Loan,1743381,15.31,120,2021-12-02
382,10360,Education Loan,4375089,13.28,24,2022-12-19
383,12421,Personal Loan,3192228,12.08,12,2015-09-27
384,16435,Home Loan,1530313,16.78,24,2023-11-10
385,3112,Education Loan,1715636,8.85,24,2023-12-22
386,1997,Home Loan,2982257,15.84,60,2017-04-21
387,8824,Personal Loan,394460,11.11,120,2015-07-22
388,19739,Education Loan,2659173,16.7,60,2022-10-05
389,2555,Auto Loan,2233403,17.16,24,2022-04-21
390,6631,Education Loan,3797756,8.39,120,2015-07-19
391,12497,Auto Loan,4980655,12.6,36,2022-12-13
392,17375,Home Loan,4898738,6.86,24,2018-06-07
393,19834,Personal Loan,3990945,7.55,120,2018-12-11
394,14603,Personal Loan,4171557,16.64,36,2016-11-20
395,2951,Personal Loan,3645547,17.37,240,2016-12-30
396,14053,Personal Loan,1045915,13.89,12,2021-03-15
397,5150,Personal Loan,72607,17.97,120,2024-08-06
398,19679,Education Loan,861301,12.9,12,2017-04-11
399,471,Personal Loan,1654958,15.35,12,2020-02-05
400,2508,Personal Loan,4376951,16.7,36,2017-08-24
401,12205,Home Loan,3851987,17.74,60,2024-09-19
402,15611,Auto Loan,4692293,14.53,60,2019-03-06
403,5604,Education Loan,2005718,9.1,36,2018-08-07
404,15733,Education Loan,2176668,7.87,24,2023-06-28
405,17617,Personal Loan,1127392,8.15,12,2020-03-03
406,11836,Home Loan,3011505,16.94,12,2022-01-09
407,15646,Auto Loan,3275300,16.36,120,2024-06-16
408,11384,Personal Loan,1138776,7.08,60,2019-02-06
409,14620,Auto Loan,1373411,11.03,36,2016-11-17
410,13253,Education Loan,2631585,6.2,36,2018-02-06
411,414,Personal Loan,1338052,17.55,12,2019-12-17
412,12489,Home Loan,4594080,7.4,24,2017-07-11
413,15970,Auto Loan,1338788,17.14,60,2022-02-02
414,8218,Education Loan,4540548,12.19,24,2020-03-06
415,380,Personal Loan,520677,15.51,240,2019-11-26
416,15697,Home Loan,3645726,17.46,12,2019-08-25
417,9796,Education Loan,3579182,13.56,24,2023-08-17
418,15618,Home Loan,3710036,9.51,120,2019-02-24
419,17200,Auto Loan,132620,14.9,24,2017-12-24
420,10822,Auto Loan,107241,6.89,240,2018-06-12
421,4553,Education Loan,2097672,6.25,60,2017-09-09
422,17304,Auto Loan,2964472,8.26,36,2020-08-25
423,17229,Home Loan,4125799,14.91,36,2016-06-01
424,15691,Home Loan,4677657,13.19,36,2016-06-12
425,3688,Auto Loan,967362,16.4,120,2022-01-29
426,11170,Auto Loan,256458,16.17,60,2020-09-05
427,1687,Home Loan,2786454,10.52,24,2015-10-13
428,5587,Auto Loan,1459835,8.21,240,2019-04-08
429,2810,Personal Loan,1713069,7.06,12,2016-12-30
430,10616,Home Loan,4895761,10.9,60,2024-05-30
431,5038,Auto Loan,1051855,16.82,60,2019-05-18
432,4926,Education Loan,4627518,12.0,12,2024-03-24
433,8546,Auto Loan,4498987,12.15,60,2018-12-02
434,15083,Home Loan,2981863,9.57,240,2023-06-05
435,6914,Home Loan,2951294,17.68,240,2023-11-19
436,5425,Personal Loan,2092971,7.78,36,2019-04-08
437,18317,Home Loan,902749,14.75,24,2018-01-27
438,11683,Education Loan,2156781,11.02,60,2023-07-22
439,1557,Personal Loan,2052207,14.16,36,2019-06-16
440,16968,Education Loan,4948170,9.98,12,2018-07-17
441,17565,Auto Loan,3998023,9.85,240,2020-01-20
442,14153,Auto Loan,503025,16.27,36,2023-11-11
443,3779,Home Loan,231193,11.17,12,2020-10-01
444,9067,Auto Loan,4047486,7.88,120,2023-04-20
445,8283,Auto Loan,3258866,9.19,12,2016-01-29
446,8570,Home Loan,4251801,6.18,24,2016-02-20
447,6544,Education Loan,1764639,9.19,240,2015-03-13
448,15196,Education Loan,4604232,6.61,36,2018-07-23
449,1719,Personal Loan,137797,8.32,36,2020-09-22
450,8652,Home Loan,2621576,17.36,60,2017-04-18
451,17436,Personal Loan,4382042,9.73,120,2021-10-09
452,13947,Education Loan,3018112,15.17,120,2020-11-02
453,10300,Home Loan,3910777,11.78,24,2015-12-06
454,2036,Home Loan,1993008,16.77,240,2015-12-20
455,12661,Home Loan,4140549,12.9,24,2016-09-10
456,14581,Education Loan,1767097,10.29,240,2021-01-06
457,10094,Auto Loan,3976064,10.48,240,2018-01-29
458,14980,Auto Loan,1996350,16.03,12,2020-07-25
459,6755,Auto Loan,585498,15.9,36,2020-04-10
460,7591,Auto Loan,3722227,16.01,240,2024-08-20
461,10821,Auto Loan,2978113,11.5,120,2024-10-14
462,14365,Home Loan,3200265,9.96,240,2015-01-15
463,11020,Home Loan,383811,11.92,36,2024-06-05
464,16484,Personal Loan,4289603,12.57,60,2021-07-05
465,13151,Personal Loan,3628888,17.5,36,2023-09-25
466,14347,Auto Loan,1395699,12.54,36,2023-11-20
467,13230,Auto Loan,227032,7.52,60,2015-09-13
468,16030,Home Loan,1912836,12.71,60,2020-08-27
469,17352,Personal Loan,2173576,15.32,24,2020-07-04
470,8375,Education Loan,951221,8.96,240,2020-05-18
471,8297,Personal Loan,193666,10.06,60,2017-03-02
472,19974,Auto Loan,1776748,17.3,240,2020-03-16
473,16999,Education Loan,3619084,17.22,24,2022-06-04
474,16798,Personal Loan,3402260,7.07,12,2021-11-15
475,9234,Personal Loan,1650004,17.57,36,2020-05-06
476,1319,Personal Loan,4364585,14.42,120,2016-02-08
477,4430,Education Loan,3307660,16.96,36,2015-07-08
478,7103,Home Loan,1517823,11.68,240,2021-07-27
479,8847,Personal Loan,4870851,12.96,60,2018-09-27
480,13618,Auto Loan,4253358,8.28,12,2023-09-14
481,6325,Home Loan,270385,8.91,120,2019-11-03
482,18007,Home Loan,1708169,7.67,60,2015-01-31
483,14884,Education Loan,365734,9.1,24,2016-05-21
484,5849,Auto Loan,4519095,6.49,36,2022-10-31
485,7269,Personal Loan,3439974,17.62,240,2017-09-13
486,15204,Personal Loan,1355857,14.06,60,2018-10-20
487,14013,Personal Loan,4975347,6.67,60,2023-01-04
488,1890,Auto Loan,4990034,10.16,36,2024-12-08
489,2251,Auto Loan,3001976,13.48,60,2015-01-15
490,4444,Personal Loan,1089463,11.74,120,2021-10-19
491,10857,Personal Loan,1667778,6.45,60,2018-02-12
